budget_h,fixed_fast,fixed_precise,rule_baseline,verifyopt,verifyopt_fallback
1,2401,812,1623,2356,2250
2,2435,1202,1892,2462,2380
4,2448,1845,2120,2510,2475
8,2451,2150,2300,2535,2520
16,2452,2310,2380,2542,2538
32,2453,2508,2440,2545,2543
